DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,Climate_Region_Pub,AIA_Zone,UR,KOWNRENT,YEARMADERANGE,TOTALBTU,TOTALBTUSPH,TOTALBTUCOL,TOTALBTUWTH,TOTALBTURFG,TOTALBTUOTH,TOTALDOL,TOTALDOLSPH,TOTALDOLCOL,TOTALDOLWTH,TOTALDOLRFG,TOTALDOLOTH,TOTSQFT,PROTHERM,MONEYPY,NHSLDMEM
1,2,4,12,2,4,3,U,1,7,63006,10873,10471,10128,5171,26363,1315,227,219,211,108,550,5075,1,23,4
2,4,10,26,2,5,4,U,2,6,103460,38606,621,30110,4470,29653,1293,368,17,287,121,501,3136,0,9,6
3,1,1,1,5,1,2,U,2,3,58716,40248,629,7933,3124,6781,1327,582,49,115,243,339,528,0,18,1
